Test,Type,Species ,Mooring,detTotal,numTP,numFP,numFN,TPR,FPR,TPdivFP,AUC
5,ALL,GS,rf all,6696,3768,2928,328,0.919921875,0.437275986,1.286885246,0.952357666
5,NEW,GS,rf AW14_AU_BS3_files_1-71,1587,889,698,175,0.835526316,0.439823566,1.273638968,0.805002885
6,GT,GS,rf AW15_AU_BS3_files_705-749,1046,655,391,42,0.93974175,0.373804971,1.675191816,0.95054919
6,GT,GS,rf AW14_AU_BS3_files_1-71,1560,972,588,47,0.953876349,0.376923077,1.653061224,0.95054919
6,GT,GS,rf AW12_AU_BS3_files_1-250,3093,1695,1398,112,0.938018816,0.451988361,1.212446352,0.95054919
6,GT,GS,rf AW14_AU_BS3_files_309-369,917,634,283,84,0.883008357,0.308615049,2.240282686,0.95054919
6,GT,GS,rf AW15_AU_BS2_files_33-103,807,409,398,65,0.862869198,0.493184634,1.027638191,0.95054919
6,GT,GS,rf BS14_AU_04_files_74-148,717,351,366,49,0.8775,0.510460251,0.959016393,0.95054919
6,ALL,GS,rf all,8140,4716,3424,399,0.921994135,0.420638821,1.377336449,0.95054919
6,NEW,GS,rf BS12_AU_02a_files_1-46,536,392,144,28,0.933333333,0.268656716,2.722222222,0.836646117
7,GT,GS,rf AW15_AU_BS3_files_705-749,1035,654,381,43,0.93830703,0.368115942,1.716535433,0.951029019
7,GT,GS,rf BS12_AU_02a_files_1-46,532,400,132,1,0.997506234,0.248120301,3.03030303,0.951029019
7,GT,GS,rf AW14_AU_BS3_files_1-71,1531,972,559,47,0.953876349,0.365120836,1.73881932,0.951029019
7,GT,GS,rf AW12_AU_BS3_files_1-250,3022,1693,1329,114,0.936912009,0.439774983,1.273890143,0.951029019
7,GT,GS,rf AW14_AU_BS3_files_309-369,889,630,259,88,0.877437326,0.291338583,2.432432432,0.951029019
