Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
113	Spectrogram 1	1	3735.340362549	3736.245697021	215	245	FP
49	Spectrogram 1	1	3747.163985513	3748.581962239	73.5	241	FN
114	Spectrogram 1	1	3751.009613037	3751.91494751	85	155	FP
115	Spectrogram 1	1	3764.380706787	3764.937835693	105	125	FP
50	Spectrogram 1	1	3813.23907318	3814.239997927	91.6	182.1	FN
51	Spectrogram 1	1	3833.958264285	3834.931385567	105.2	186.7	FN
116	Spectrogram 1	1	3852.128509521	3853.033843994	135	185	FP
117	Spectrogram 1	1	3868.703094482	3869.260223389	145	195	TP
52	Spectrogram 1	1	3868.626472197	3870.23907318	80.3	213.8	FN
118	Spectrogram 1	1	3879.427825928	3879.915313721	125	165	FP
119	Spectrogram 1	1	3894.470306396	3896.211334229	135	225	FP
53	Spectrogram 1	1	3899.933235062	3901.128784067	80.3	195.7	FN
54	Spectrogram 1	1	3924.155662784	3925.128784067	78.1	168.6	FN
120	Spectrogram 1	1	3935.210357666	3935.976409912	85	145	FP
121	Spectrogram 1	1	3953.247406006	3953.943817139	85	135	FP
122	Spectrogram 1	1	3954.779510498	3955.615203857	155	205	FP
123	Spectrogram 1	1	3959.306182861	3959.932952881	125	185	FP
124	Spectrogram 1	1	3962.161468506	3962.788238525	155	205	FP
125	Spectrogram 1	1	3963.623931885	3964.389984131	75	155	FP
126	Spectrogram 1	1	3969.89163208	3970.5184021	75	115	TP
55	Spectrogram 1	1	3969.936934053	3971.104679592	55.4	170.8	FN
127	Spectrogram 1	1	3983.610931396	3984.725189209	155	215	FP
56	Spectrogram 1	1	3985.935084558	3987.408668214	69	184.4	FN
128	Spectrogram 1	1	4029.922271729	4030.757965088	125	185	FP
129	Spectrogram 1	1	4038.557769775	4038.975616455	185	215	FP
130	Spectrogram 1	1	4075.397918701	4075.955047607	115	155	FP
57	Spectrogram 1	1	4093.045373671	4094.352136536	71.3	173.1	FN
131	Spectrogram 1	1	4114.745147705	4115.789764404	175	205	FP
132	Spectrogram 1	1	4142.671234131	4143.50692749	115	185	FP
133	Spectrogram 1	1	4181.182769775	4182.018463135	165	205	FP
134	Spectrogram 1	1	4190.932525635	4191.698577881	75	155	FP
135	Spectrogram 1	1	4192.186065674	4192.812835693	195	245	FP
136	Spectrogram 1	1	4196.364532471	4196.99130249	115	165	FP
137	Spectrogram 1	1	4204.791107178	4205.90536499	115	155	FP
138	Spectrogram 1	1	4216.072967529	4216.839019775	125	175	FP
139	Spectrogram 1	1	4238.149200439	4238.845611572	55	125	FP
140	Spectrogram 1	1	4297.135223389	4297.692352295	155	185	FP
141	Spectrogram 1	1	4301.801177979	4302.358306885	145	185	FP
58	Spectrogram 1	1	4323.344738555	4324.345663302	55.4	166.3	FN
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	FN
142	Spectrogram 1	1	4380.286712646	4380.983123779	115	135	FP
143	Spectrogram 1	1	4381.679534912	4382.445587158	85	125	TP
61	Spectrogram 1	1	4403.327107314	4403.994390479	73.5	161.8	FN
144	Spectrogram 1	1	4427.155181885	4427.851593018	85	155	FP
145	Spectrogram 1	1	4430.149749756	4430.985443115	95	155	FP
146	Spectrogram 1	1	4457.866912842	4458.702606201	45	115	FP
147	Spectrogram 1	1	4478.480682373	4479.177093506	155	175	FP
62	Spectrogram 1	1	4577.263177654	4578.180692006	89.4	170.8	FN
63	Spectrogram 1	1	4612.045373671	4613.046298419	93.9	188.9	TP
149	Spectrogram 1	1	4653.767364502	4654.603057861	75	145	FP
150	Spectrogram 1	1	4662.402862549	4663.308197021	65	125	FP
151	Spectrogram 1	1	4668.043792725	4668.740203857	75	145	FP
64	Spectrogram 1	1	4700.518957327	4701.297454353	64.5	159.5	FN
152	Spectrogram 1	1	4739.425933838	4739.774139404	145	185	FP
65	Spectrogram 1	1	4793.488379619	4794.461500901	103	193.5	FN
153	Spectrogram 1	1	4806.977813721	4807.60458374	65	155	FP
66	Spectrogram 1	1	4809.98976674	4810.879477627	71.3	148.2	FN
154	Spectrogram 1	1	4832.466461182	4833.093231201	55	105	FP
155	Spectrogram 1	1	4862.203216553	4862.899627686	95	165	TP
156	Spectrogram 1	1	4956.984771729	4957.681182861	65	145	FP
157	Spectrogram 1	1	4983.935882568	4984.771575928	55	145	FP
158	Spectrogram 1	1	5003.783599854	5004.828216553	135	245	FP
159	Spectrogram 1	1	5087.004730225	5087.561859131	155	215	FP
160	Spectrogram 1	1	5126.212677002	5126.909088135	125	145	FP
161	Spectrogram 1	1	5127.118011475	5127.605499268	205	245	FP
68	Spectrogram 1	1	5158.568091024	5159.708033098	69	236.4	TP
69	Spectrogram 1	1	5170.634794926	5171.496702348	69	218.3	FN
163	Spectrogram 1	1	5191.7449646	5192.441375732	45	75	FP
164	Spectrogram 1	1	5225.381622314	5226.217315674	85	145	FP
165	Spectrogram 1	1	5238.195587158	5238.961639404	155	205	FP
70	Spectrogram 1	1	5246.513408841	5247.291905867	91.6	191.2	FN
166	Spectrogram 1	1	5262.709259033	5263.336029053	125	165	FP
71	Spectrogram 1	1	5270.961038528	5272.295604858	64.5	186.7	FN
72	Spectrogram 1	1	5285.543986549	5286.461500901	91.6	227.4	FN
167	Spectrogram 1	1	5303.727874756	5304.215362549	45	75	FP
168	Spectrogram 1	1	5308.742034912	5309.577728271	105	125	FP
169	Spectrogram 1	1	5441.686920166	5442.592254639	95	165	FP
170	Spectrogram 1	1	5473.652191162	5474.278961182	45	105	FP
171	Spectrogram 1	1	5519.615325928	5520.311737061	215	245	FP
73	Spectrogram 1	1	5542.070402893	5542.932310315	69	170.8	FN
172	Spectrogram 1	1	5590.440338135	5591.206390381	55	85	FP
74	Spectrogram 1	1	5590.823870697	5591.657974653	78.1	213.8	FN
75	Spectrogram 1	1	5627.101905349	5628.353061284	112	202.5	FN
173	Spectrogram 1	1	5648.938873291	5649.565643311	195	245	FP
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	FN
174	Spectrogram 1	1	5744.765045166	5745.531097412	85	135	FP
175	Spectrogram 1	1	5746.088226318	5746.575714111	95	125	FP
176	Spectrogram 1	1	5791.703155518	5792.81741333	85	135	FP
177	Spectrogram 1	1	5810.715179443	5811.899078369	135	205	FP
178	Spectrogram 1	1	5843.307220459	5844.003631592	145	175	FP
179	Spectrogram 1	1	5855.912261963	5856.678314209	165	215	FP
180	Spectrogram 1	1	5911.346588135	5911.764434814	85	165	FP
77	Spectrogram 1	1	5934.378090506	5935.601442975	60	148.2	FN
181	Spectrogram 1	1	5947.142120361	5947.768890381	155	195	FP
78	Spectrogram 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
79	Spectrogram 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
182	Spectrogram 1	1	6021.797393799	6022.215240479	165	195	FP
183	Spectrogram 1	1	6043.943267822	6044.430755615	195	225	FP
184	Spectrogram 1	1	6082.1065979	6082.663726807	55	105	FP
80	Spectrogram 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
185	Spectrogram 1	1	6151.190582275	6151.747711182	205	225	FP
186	Spectrogram 1	1	6163.029571533	6163.865264893	115	185	TP
187	Spectrogram 1	1	6202.028594971	6202.933929443	65	115	FP
188	Spectrogram 1	1	6242.002593994	6242.699005127	65	115	FP
189	Spectrogram 1	1	6255.861175537	6256.696868896	155	205	FP
190	Spectrogram 1	1	6291.169219971	6291.726348877	105	185	FP
191	Spectrogram 1	1	6374.529632568	6375.017120361	45	75	FP
192	Spectrogram 1	1	6466.804107666	6467.430877686	115	135	FP
193	Spectrogram 1	1	6481.498382568	6482.682281494	65	125	FP
82	Spectrogram 1	1	6559.687627614	6561.049997409	80.3	202.5	FN
194	Spectrogram 1	1	6563.396331787	6564.232025146	135	205	FP
195	Spectrogram 1	1	6582.826202393	6583.383331299	75	95	FP
196	Spectrogram 1	1	6629.833953857	6630.460723877	95	135	FP
83	Spectrogram 1	1	6638.321558828	6639.211269715	69	168.6	FN
197	Spectrogram 1	1	6652.258392334	6652.954803467	85	135	FP
84	Spectrogram 1	1	6707.874853889	6708.792368241	69	152.7	FN
198	Spectrogram 1	1	6717.442474365	6717.999603271	95	125	FP
199	Spectrogram 1	1	6772.737518311	6773.15536499	85	145	FP
200	Spectrogram 1	1	6787.431793213	6788.128204346	105	175	FP
201	Spectrogram 1	1	6794.186981201	6795.161956787	195	245	FP
202	Spectrogram 1	1	6822.043426514	6823.227325439	65	125	FP
