Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
163	Spectrogram 1	1	11905.070402893	11906.404969223	48.7	116.5	FN
164	Spectrogram 1	1	12013.926761829	12014.899883111	69	132.4	FN
165	Spectrogram 1	1	12028.189939483	12029.413291952	73.5	191.2	FN
23	Spectrogram 1	1	12072.078033447	12072.495880127	115	155	TP
167	Spectrogram 1	1	12118.095432115	12119.290981119	121.1	259.1	FN
168	Spectrogram 1	1	12140.735836563	12141.430923193	98.4	225.1	TP
25	Spectrogram 1	1	12160.522247314	12160.940093994	115	155	TP
170	Spectrogram 1	1	12163.184390997	12163.935084558	118.8	227.4	FN
171	Spectrogram 1	1	12341.816472716	12342.622773207	78.1	136.9	FN
172	Spectrogram 1	1	12372.711732088	12373.935084558	66.8	161.8	FN
173	Spectrogram 1	1	12408.850749414	12409.879477627	73.5	173.1	FN
174	Spectrogram 1	1	12411.992540983	12412.548610288	114.3	222.9	FN
175	Spectrogram 1	1	12438.700635116	12439.395721747	98.4	170.8	FN
176	Spectrogram 1	1	12456.911904831	12458.190864231	93.9	175.4	FN
177	Spectrogram 1	1	12479.460576154	12480.461500901	84.9	175.4	FN
178	Spectrogram 1	1	12505.626472197	12506.571790015	71.3	175.4	FN
179	Spectrogram 1	1	12538.623697954	12540.208495472	73.5	166.3	FN
180	Spectrogram 1	1	12565.181616754	12566.126934571	93.9	155	FN
181	Spectrogram 1	1	12625.818322211	12626.791443493	84.9	161.8	TP
182	Spectrogram 1	1	12647.068553398	12647.958264285	98.4	161.8	FN
183	Spectrogram 1	1	12668.321558828	12669.656125158	75.8	200.2	FN
27	Spectrogram 1	1	12684.989471436	12685.616241455	115	155	FP
184	Spectrogram 1	1	12688.570865267	12689.460576154	112	198	TP
185	Spectrogram 1	1	12890.874853889	12891.653350915	130.1	202.5	FN
186	Spectrogram 1	1	12924.736761311	12925.737686058	130.1	200.2	FN
29	Spectrogram 1	1	12952.272064209	12952.829193115	115	155	TP
188	Spectrogram 1	1	12984.820171706	12985.654275663	107.5	173.1	FN
30	Spectrogram 1	1	13059.658660889	13060.285430908	115	155	TP
190	Spectrogram 1	1	13114.929536072	13116.04167468	71.3	204.8	FN
191	Spectrogram 1	1	13152.900807859	13154.513408841	64.5	188.9	FN
192	Spectrogram 1	1	13188.211269715	13189.295604858	78.1	150.5	FN
193	Spectrogram 1	1	13237.787744503	13238.816472716	69	195.7	FN
194	Spectrogram 1	1	13271.571790015	13272.656125158	69	166.3	FN
195	Spectrogram 1	1	13413.767339019	13414.51803258	69	186.7	FN
196	Spectrogram 1	1	13447.073177136	13447.740460301	93.9	202.5	FN
197	Spectrogram 1	1	13651.404044476	13652.182541502	109.7	182.1	FN
31	Spectrogram 1	1	13686.985809326	13687.612579346	115	155	TP
199	Spectrogram 1	1	13855.540287559	13856.902657354	96.2	188.9	FN
200	Spectrogram 1	1	13881.433697436	13883.129708814	139.2	207	FN
32	Spectrogram 1	1	13908.6534729	13909.349884033	115	155	TP
33	Spectrogram 1	1	14018.059661865	14018.477508545	115	155	TP
203	Spectrogram 1	1	14051.624622702	14052.847975171	87.1	243.2	FN
204	Spectrogram 1	1	14101.682079128	14102.683003875	71.3	170.8	FN
205	Spectrogram 1	1	14159.349362293	14160.29468011	82.6	182.1	FN
206	Spectrogram 1	1	14282.847050424	14283.931385567	75.8	175.4	FN
207	Spectrogram 1	1	14481.931385567	14482.709882593	69	177.6	FN
208	Spectrogram 1	1	14587.045373671	14587.962888023	103	166.3	FN
209	Spectrogram 1	1	14719.237223684	14720.321558828	93.9	202.5	FN
34	Spectrogram 1	1	14763.428497314	14763.915985107	115	155	TP
35	Spectrogram 1	1	14797.761566162	14798.249053955	115	155	FP
36	Spectrogram 1	1	14848.460296631	14848.878143311	115	155	TP
212	Spectrogram 1	1	14937.405893971	14938.712656836	66.8	159.5	FN
213	Spectrogram 1	1	15002.26872614	15003.186240492	82.6	148.2	TP
214	Spectrogram 1	1	15046.351211788	15047.491153862	84.9	175.4	FN
215	Spectrogram 1	1	15078.653350915	15079.459651406	103	155	FN
38	Spectrogram 1	1	15198.755096436	15199.242584229	115	155	TP
217	Spectrogram 1	1	15328.515258337	15329.822021202	57.7	157.3	FN
218	Spectrogram 1	1	15384.069478145	15385.431847941	50.9	136.9	FN
39	Spectrogram 1	1	15384.836151123	15385.393280029	115	155	TP
219	Spectrogram 1	1	15553.740460301	15554.685778118	71.3	184.4	FN
220	Spectrogram 1	1	15580.768263766	15581.741385049	143.7	225.1	FN
221	Spectrogram 1	1	15627.711732088	15628.907281093	57.7	152.7	FN
40	Spectrogram 1	1	15674.403900146	15674.821746826	115	155	FP
222	Spectrogram 1	1	15700.545836045	15701.741385049	62.2	184.4	FN
223	Spectrogram 1	1	15801.544911297	15802.62924644	60	155	TP
224	Spectrogram 1	1	15872.157512279	15872.936009305	73.5	166.3	TP
225	Spectrogram 1	1	15924.600518228	15925.740460301	46.4	152.7	FN
43	Spectrogram 1	1	15925.181549072	15925.599395752	115	155	TP
226	Spectrogram 1	1	16088.902657354	16090.515258337	80.3	186.7	TP
45	Spectrogram 1	1	16142.04397583	16142.531463623	115	155	TP
228	Spectrogram 1	1	16369.935084558	16371.158437027	84.9	143.7	FN
229	Spectrogram 1	1	16374.049997409	16374.967511761	100.7	168.6	FN
230	Spectrogram 1	1	16402.712656836	16403.963812771	57.7	143.7	FN
231	Spectrogram 1	1	16426.657049906	16427.602367723	71.3	164	TP
47	Spectrogram 1	1	16624.865814209	16625.353302002	115	155	TP
233	Spectrogram 1	1	16801.684853371	16802.713581584	112	184.4	FN
234	Spectrogram 1	1	16832.65520041	16834.184390997	75.8	188.9	FN
235	Spectrogram 1	1	16865.73306232	16866.622773207	109.7	182.1	FN
236	Spectrogram 1	1	16886.710807341	16887.87855288	82.6	195.7	FN
48	Spectrogram 1	1	16919.099517822	16919.517364502	115	155	TP
49	Spectrogram 1	1	16965.967987061	16966.59475708	115	155	FP
238	Spectrogram 1	1	17036.877628132	17037.906356345	96.2	168.6	FN
239	Spectrogram 1	1	17067.461500901	17068.768263766	87.1	195.7	FN
240	Spectrogram 1	1	17109.024968187	17109.664447887	118.8	211.6	FN
241	Spectrogram 1	1	17294.988841993	17296.073177136	100.7	193.5	FN
242	Spectrogram 1	1	17374.765489523	17376.183466249	62.2	182.1	FN
243	Spectrogram 1	1	17470.017570206	17471.741385049	53.2	191.2	FN
244	Spectrogram 1	1	17515.823870697	17516.991616236	89.4	179.9	FN
245	Spectrogram 1	1	17641.017570206	17642.157512279	93.9	168.6	FN
246	Spectrogram 1	1	17921.210344967	17922.489304367	50.9	168.6	TP
247	Spectrogram 1	1	18072.711732088	18073.51803258	112	207	FN
248	Spectrogram 1	1	18122.516183084	18123.711732088	80.3	182.1	FN
51	Spectrogram 1	1	18123.194366455	18123.612213135	115	155	TP
249	Spectrogram 1	1	18151.267801393	18152.491153862	114.3	195.7	FN
250	Spectrogram 1	1	18193.879477627	18194.796991979	134.6	182.1	FN
251	Spectrogram 1	1	18266.59959348	18268.62924644	66.8	184.4	FN
252	Spectrogram 1	1	18448.737686058	18450.600518228	105.2	191.2	FN
253	Spectrogram 1	1	18494.210344967	18495.350287041	89.4	186.7	TP
254	Spectrogram 1	1	18592.017570206	18593.046298419	118.8	179.9	FN
255	Spectrogram 1	1	18629.182541502	18630.100055854	89.4	186.7	FN
256	Spectrogram 1	1	18685.57363951	18686.796991979	55.4	170.8	FN
257	Spectrogram 1	1	18699.961963275	18700.768263766	84.9	139.2	FN
258	Spectrogram 1	1	19030.848899919	19032.98976674	57.7	198	FN
259	Spectrogram 1	1	19201.462425649	19202.518957327	87.1	186.7	TP
