Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
53	Spectrogram 1	1	3899.933235062	3901.128784067	80.3	195.7	FN
54	Spectrogram 1	1	3924.155662784	3925.128784067	78.1	168.6	FN
55	Spectrogram 1	1	3969.936934053	3971.104679592	55.4	170.8	FN
56	Spectrogram 1	1	3985.935084558	3987.408668214	69	184.4	FN
60	Spectrogram 1	1	4076.372894287	4077.696075439	67	226	FP
57	Spectrogram 1	1	4093.045373671	4094.352136536	71.3	173.1	FN
61	Spectrogram 1	1	4213.496246338	4214.053375244	67	226	FP
62	Spectrogram 1	1	4245.740081787	4246.366851807	67	226	FP
63	Spectrogram 1	1	4312.108062744	4313.08303833	67	226	FP
58	Spectrogram 1	1	4323.344738555	4324.345663302	55.4	166.3	FN
64	Spectrogram 1	1	4347.903594971	4348.391082764	67	226	TP
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	FN
60	Spectrogram 1	1	4381.737686058	4382.988841993	80.3	193.5	FN
61	Spectrogram 1	1	4403.327107314	4403.994390479	73.5	161.8	FN
65	Spectrogram 1	1	4425.065948486	4425.553436279	67	226	FP
66	Spectrogram 1	1	4485.584075928	4487.32510376	67	226	FP
62	Spectrogram 1	1	4577.263177654	4578.180692006	89.4	170.8	FN
63	Spectrogram 1	1	4612.045373671	4613.046298419	93.9	188.9	FN
64	Spectrogram 1	1	4700.518957327	4701.297454353	64.5	159.5	TP
68	Spectrogram 1	1	4751.822052002	4752.657745361	67	226	FP
65	Spectrogram 1	1	4793.488379619	4794.461500901	103	193.5	FN
66	Spectrogram 1	1	4809.98976674	4810.879477627	71.3	148.2	FN
69	Spectrogram 1	1	4836.505645752	4837.202056885	67	226	FP
67	Spectrogram 1	1	4862.154738036	4863.211269715	62.2	211.6	FN
70	Spectrogram 1	1	4892.28817749	4893.12387085	67	226	FP
71	Spectrogram 1	1	5125.446624756	5126.491241455	67	226	FP
68	Spectrogram 1	1	5158.568091024	5159.708033098	69	236.4	FN
69	Spectrogram 1	1	5170.634794926	5171.496702348	69	218.3	FN
70	Spectrogram 1	1	5246.513408841	5247.291905867	91.6	191.2	FN
71	Spectrogram 1	1	5270.961038528	5272.295604858	64.5	186.7	FN
72	Spectrogram 1	1	5285.543986549	5286.461500901	91.6	227.4	FN
73	Spectrogram 1	1	5542.070402893	5542.932310315	69	170.8	FN
74	Spectrogram 1	1	5590.823870697	5591.657974653	78.1	213.8	FN
75	Spectrogram 1	1	5627.101905349	5628.353061284	112	202.5	FN
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	FN
72	Spectrogram 1	1	5810.018768311	5811.27230835	67	226	FP
73	Spectrogram 1	1	5861.135345459	5862.110321045	67	226	FP
74	Spectrogram 1	1	5933.562103271	5935.094207764	67	226	FP
77	Spectrogram 1	1	5934.378090506	5935.601442975	60	148.2	TP
75	Spectrogram 1	1	5941.361907959	5942.127960205	67	226	FP
78	Spectrogram 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
79	Spectrogram 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
80	Spectrogram 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
81	Spectrogram 1	1	6162.925837081	6164.010172224	105.2	227.4	FN
76	Spectrogram 1	1	6200.914337158	6201.401824951	67	226	FP
77	Spectrogram 1	1	6233.85458374	6234.6902771	67	226	FP
78	Spectrogram 1	1	6257.950408936	6258.437896729	67	226	FP
79	Spectrogram 1	1	6408.027008057	6408.862701416	67	226	FP
80	Spectrogram 1	1	6526.347259521	6527.043670654	67	226	FP
82	Spectrogram 1	1	6559.687627614	6561.049997409	80.3	202.5	FN
83	Spectrogram 1	1	6638.321558828	6639.211269715	69	168.6	FN
81	Spectrogram 1	1	6657.411834717	6658.456451416	67	226	FP
82	Spectrogram 1	1	6678.025604248	6679.279144287	67	226	FP
83	Spectrogram 1	1	6683.596893311	6684.85043335	67	226	FP
84	Spectrogram 1	1	6707.874853889	6708.792368241	69	152.7	FN
84	Spectrogram 1	1	6828.520050049	6829.146820068	67	226	FP
85	Spectrogram 1	1	6952.202667236	6953.386566162	67	226	FP
85	Spectrogram 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
86	Spectrogram 1	1	7042.736114502	7043.502166748	67	226	FP
86	Spectrogram 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
87	Spectrogram 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	TP
88	Spectrogram 1	1	7160.081390381	7160.847442627	67	226	FP
89	Spectrogram 1	1	7204.373138428	7205.48739624	67	226	FP
89	Spectrogram 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
90	Spectrogram 1	1	7343.167877197	7344.421417236	67	226	FP
91	Spectrogram 1	1	7407.098419189	7407.585906982	67	226	FP
92	Spectrogram 1	1	7429.801422119	7431.054962158	67	226	FP
93	Spectrogram 1	1	7481.475128174	7482.171539307	67	226	FP
94	Spectrogram 1	1	7490.5284729	7491.015960693	67	226	FP
95	Spectrogram 1	1	7562.04989624	7563.024871826	67	226	FP
90	Spectrogram 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
96	Spectrogram 1	1	7590.533111572	7591.159881592	67	226	FP
97	Spectrogram 1	1	7598.472198486	7599.377532959	67	226	FP
91	Spectrogram 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
92	Spectrogram 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
98	Spectrogram 1	1	7732.879547119	7733.436676025	67	226	FP
99	Spectrogram 1	1	7743.116790771	7743.743560791	67	226	FP
100	Spectrogram 1	1	7811.225799561	7812.131134033	67	226	FP
93	Spectrogram 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
101	Spectrogram 1	1	7856.701446533	7858.233551025	67	226	FP
102	Spectrogram 1	1	7910.32510376	7911.091156006	67	226	FP
94	Spectrogram 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
103	Spectrogram 1	1	8021.12411499	8021.75088501	67	226	FP
104	Spectrogram 1	1	8086.308197021	8087.004608154	67	226	FP
105	Spectrogram 1	1	8106.852325439	8107.548736572	67	226	FP
106	Spectrogram 1	1	8149.820892334	8150.79586792	67	226	FP
107	Spectrogram 1	1	8171.200714111	8171.827484131	67	226	FP
108	Spectrogram 1	1	8176.841644287	8177.53805542	67	226	FP
109	Spectrogram 1	1	8182.41293335	8183.318267822	67	226	FP
110	Spectrogram 1	1	8194.460845947	8195.017974854	67	226	FP
111	Spectrogram 1	1	8212.149688721	8212.706817627	67	226	FP
112	Spectrogram 1	1	8217.65133667	8218.347747803	67	226	FP
95	Spectrogram 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
96	Spectrogram 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
113	Spectrogram 1	1	8339.384002686	8340.637542725	67	226	FP
114	Spectrogram 1	1	8349.899810791	8351.292633057	67	226	FP
97	Spectrogram 1	1	8416.312311351	8417.368843029	75.8	157.3	TP
116	Spectrogram 1	1	8428.106781006	8428.594268799	67	226	FP
117	Spectrogram 1	1	8445.517059326	8446.143829346	67	226	FP
98	Spectrogram 1	1	8460.072252388	8461.184390997	64.5	139.2	FN
118	Spectrogram 1	1	8479.710845947	8480.337615967	67	226	FP
99	Spectrogram 1	1	8583.430923193	8585.488379619	48.7	168.6	FN
101	Spectrogram 1	1	8652.008322729	8653.898958364	32.8	202.5	FN
119	Spectrogram 1	1	8663.981231689	8664.608001709	67	226	FP
100	Spectrogram 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
102	Spectrogram 1	1	8695.209420219	8696.822021202	39.6	125.6	FN
103	Spectrogram 1	1	8710.62924644	8712.075026631	93.9	184.4	FN
104	Spectrogram 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
105	Spectrogram 1	1	8762.65520041	8763.98976674	69	186.7	FN
106	Spectrogram 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
107	Spectrogram 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
108	Spectrogram 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
109	Spectrogram 1	1	8887.570865267	8888.988841993	80.3	186.7	FN
110	Spectrogram 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
111	Spectrogram 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
112	Spectrogram 1	1	8974.156587532	8975.936009305	44.1	159.5	FN
113	Spectrogram 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
114	Spectrogram 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
120	Spectrogram 1	1	9046.86807251	9047.425201416	67	226	FP
115	Spectrogram 1	1	9056.210344967	9057.711732088	53.2	148.2	TP
122	Spectrogram 1	1	9093.666900635	9094.293670654	67	226	FP
