Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
140	Waveform 1	1	9171.350287041	9173.407743466	64.5	177.6	FN
141	Waveform 1	1	9195.350287041	9197.046298419	46.4	175.4	FN
142	Waveform 1	1	9281.074101884	9282.603292471	48.7	175.4	FN
143	Waveform 1	1	9412.654275663	9414.016645458	60.0	139.2	FN
144	Waveform 1	1	9423.859072143	9425.332655800	37.3	116.5	FN
145	Waveform 1	1	9461.720184326	9462.416595459	50.0	250.0	TP
146	Waveform 1	1	9492.849761963	9493.615814209	50.0	250.0	TP
147	Waveform 1	1	9553.462425649	9555.047223166	64.5	161.8	FN
148	Waveform 1	1	9599.961038528	9601.434622184	78.1	175.4	FN
149	Waveform 1	1	9696.069478145	9698.238148432	37.3	193.5	FN
150	Waveform 1	1	9728.793853760	9729.281341553	50.0	250.0	TP
151	Waveform 1	1	9830.015720710	9830.766414271	78.1	145.9	FN
152	Waveform 1	1	9879.878552880	9881.324333071	44.1	191.2	FN
153	Waveform 1	1	9912.906356345	9914.518957327	44.1	186.7	FN
154	Waveform 1	1	9982.709882593	9983.655200410	69.0	150.5	FN
155	Waveform 1	1	10037.210344967	10038.461500901	50.9	148.2	FN
156	Waveform 1	1	10086.822945949	10088.379940001	32.8	193.5	FN
157	Waveform 1	1	10211.652426167	10213.292830615	53.2	213.8	FN
158	Waveform 1	1	10241.402194980	10243.320634080	30.6	168.6	FN
159	Waveform 1	1	10364.207570724	10366.042599428	44.1	166.3	FN
160	Waveform 1	1	10397.627396945	10399.212194462	48.7	159.5	FN
161	Waveform 1	1	10427.290981119	10429.070402893	48.7	179.9	FN
162	Waveform 1	1	10505.685778118	10507.353986031	44.1	182.1	FN
163	Waveform 1	1	10557.489304367	10559.518957327	48.7	209.3	FN
164	Waveform 1	1	10636.012021720	10637.819246959	30.6	155.0	FN
165	Waveform 1	1	10660.014795963	10661.933235062	44.1	148.2	FN
166	Waveform 1	1	10807.651501420	10809.236298937	39.6	175.4	FN
167	Waveform 1	1	10876.095432115	10877.708033098	50.9	184.4	FN
168	Waveform 1	1	11052.375316263	11054.043524176	41.9	179.9	FN
169	Waveform 1	1	11092.960113780	11094.378090506	96.2	241.0	FN
170	Waveform 1	1	11155.531341553	11156.227752686	50.0	250.0	TP
171	Waveform 1	1	11188.332305908	11189.167999268	50.0	250.0	TP
172	Waveform 1	1	11241.236298937	11242.459651406	57.7	136.9	FN
173	Waveform 1	1	11265.681154380	11267.210344967	57.7	216.1	FN
174	Waveform 1	1	11312.223846436	11313.198822021	50.0	250.0	TP
175	Waveform 1	1	11360.738610806	11362.518032580	53.2	179.9	FN
176	Waveform 1	1	11454.430923193	11455.848899919	44.1	166.3	FN
177	Waveform 1	1	11611.126009824	11612.627396945	62.2	179.9	FN
178	Waveform 1	1	11648.680229632	11649.959189032	55.4	284.0	FN
179	Waveform 1	1	11701.987917245	11703.878552880	39.6	195.7	FN
180	Waveform 1	1	11738.624622702	11740.376241010	41.9	177.6	FN
181	Waveform 1	1	11802.875778637	11804.599593480	55.4	170.8	FN
182	Waveform 1	1	11857.570865267	11859.072252388	39.6	157.3	FN
183	Waveform 1	1	11882.460576154	11884.073177136	35.1	141.4	FN
184	Waveform 1	1	11905.287567139	11906.123260498	50.0	250.0	TP
185	Waveform 1	1	12013.926761829	12014.899883111	69.0	132.4	FN
186	Waveform 1	1	12028.189939483	12029.413291952	73.5	191.2	FN
187	Waveform 1	1	12071.849824667	12072.739535554	123.3	204.8	FN
188	Waveform 1	1	12118.095432115	12119.290981119	121.1	259.1	FN
189	Waveform 1	1	12140.735836563	12141.430923193	98.4	225.1	FN
190	Waveform 1	1	12160.404044476	12161.099131106	103.0	222.9	FN
191	Waveform 1	1	12163.184390997	12163.935084558	118.8	227.4	FN
192	Waveform 1	1	12341.816472716	12342.622773207	78.1	136.9	FN
193	Waveform 1	1	12372.711732088	12373.935084558	66.8	161.8	FN
194	Waveform 1	1	12408.850749414	12409.879477627	73.5	173.1	FN
195	Waveform 1	1	12411.992540983	12412.548610288	114.3	222.9	FN
196	Waveform 1	1	12438.700635116	12439.395721747	98.4	170.8	FN
197	Waveform 1	1	12456.911904831	12458.190864231	93.9	175.4	FN
198	Waveform 1	1	12479.460576154	12480.461500901	84.9	175.4	FN
199	Waveform 1	1	12505.626472197	12506.571790015	71.3	175.4	FN
200	Waveform 1	1	12538.623697954	12540.208495472	73.5	166.3	FN
201	Waveform 1	1	12565.181616754	12566.126934571	93.9	155.0	FN
202	Waveform 1	1	12625.818322211	12626.791443493	84.9	161.8	FN
203	Waveform 1	1	12647.068553398	12647.958264285	98.4	161.8	FN
204	Waveform 1	1	12668.321558828	12669.656125158	75.8	200.2	FN
205	Waveform 1	1	12688.570865267	12689.460576154	112.0	198.0	FN
206	Waveform 1	1	12890.874853889	12891.653350915	130.1	202.5	FN
207	Waveform 1	1	12924.736761311	12925.737686058	130.1	200.2	FN
208	Waveform 1	1	12952.323408323	12953.324333071	118.8	191.2	FN
209	Waveform 1	1	12984.820171706	12985.654275663	107.5	173.1	FN
210	Waveform 1	1	13059.683928623	13060.434622184	114.3	193.5	FN
211	Waveform 1	1	13114.929536072	13116.041674680	71.3	204.8	FN
212	Waveform 1	1	13152.900807859	13154.513408841	64.5	188.9	FN
213	Waveform 1	1	13188.211269715	13189.295604858	78.1	150.5	FN
214	Waveform 1	1	13237.787744503	13238.816472716	69.0	195.7	FN
215	Waveform 1	1	13271.571790015	13272.656125158	69.0	166.3	FN
216	Waveform 1	1	13413.767339019	13414.518032580	69.0	186.7	FN
217	Waveform 1	1	13447.073177136	13447.740460301	93.9	202.5	FN
218	Waveform 1	1	13651.404044476	13652.182541502	109.7	182.1	FN
219	Waveform 1	1	13686.878552880	13687.823870697	109.7	193.5	FN
220	Waveform 1	1	13855.540287559	13856.902657354	96.2	188.9	FN
221	Waveform 1	1	13881.433697436	13883.129708814	139.2	207.0	FN
222	Waveform 1	1	13908.600518228	13909.907281093	132.4	211.6	FN
223	Waveform 1	1	14017.762715280	14018.986067750	112.0	195.7	FN
224	Waveform 1	1	14051.624622702	14052.847975171	87.1	243.2	FN
225	Waveform 1	1	14101.682079128	14102.683003875	71.3	170.8	FN
226	Waveform 1	1	14159.349362293	14160.294680110	82.6	182.1	FN
227	Waveform 1	1	14282.847050424	14283.931385567	75.8	175.4	FN
228	Waveform 1	1	14481.931385567	14482.709882593	69.0	177.6	FN
229	Waveform 1	1	14587.045373671	14587.962888023	103.0	166.3	FN
230	Waveform 1	1	14719.237223684	14720.321558828	93.9	202.5	FN
231	Waveform 1	1	14763.266876645	14764.100980601	116.5	182.1	FN
232	Waveform 1	1	14848.212194462	14849.157512279	125.6	204.8	FN
