Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
169	Waveform 1	1	12140.883453369	12141.440582275	135.0	175.0	TP
170	Waveform 1	1	12160.404044476	12161.099131106	103.0	222.9	FN
171	Waveform 1	1	12163.184390997	12163.935084558	118.8	227.4	FN
172	Waveform 1	1	12341.816472716	12342.622773207	78.1	136.9	FN
173	Waveform 1	1	12372.711732088	12373.935084558	66.8	161.8	FN
174	Waveform 1	1	12408.850749414	12409.879477627	73.5	173.1	FN
175	Waveform 1	1	12412.065948486	12412.483795166	135.0	175.0	TP
176	Waveform 1	1	12438.700635116	12439.395721747	98.4	170.8	FN
177	Waveform 1	1	12456.911904831	12458.190864231	93.9	175.4	FN
178	Waveform 1	1	12479.460576154	12480.461500901	84.9	175.4	FN
179	Waveform 1	1	12505.942169189	12506.499298096	135.0	175.0	TP
180	Waveform 1	1	12539.648468018	12540.135955811	135.0	175.0	TP
181	Waveform 1	1	12565.181616754	12566.126934571	93.9	155.0	FN
182	Waveform 1	1	12626.282012939	12626.699859619	135.0	175.0	TP
183	Waveform 1	1	12647.068553398	12647.958264285	98.4	161.8	FN
184	Waveform 1	1	12668.321558828	12669.656125158	75.8	200.2	FN
185	Waveform 1	1	12688.570865267	12689.460576154	112.0	198.0	FN
186	Waveform 1	1	12733.738250732	12734.225738525	135.0	175.0	FP
187	Waveform 1	1	12891.057525635	12891.545013428	135.0	175.0	TP
188	Waveform 1	1	12924.736761311	12925.737686058	130.1	200.2	FN
189	Waveform 1	1	12952.411346436	12953.107757568	135.0	175.0	TP
190	Waveform 1	1	12984.820171706	12985.654275663	107.5	173.1	FN
191	Waveform 1	1	13059.683928623	13060.434622184	114.3	193.5	FN
192	Waveform 1	1	13115.232269287	13115.789398193	135.0	175.0	TP
193	Waveform 1	1	13152.900807859	13154.513408841	64.5	188.9	FN
194	Waveform 1	1	13188.211269715	13189.295604858	78.1	150.5	FN
195	Waveform 1	1	13237.787744503	13238.816472716	69.0	195.7	FN
196	Waveform 1	1	13271.571790015	13272.656125158	69.0	166.3	FN
197	Waveform 1	1	13413.767339019	13414.518032580	69.0	186.7	FN
198	Waveform 1	1	13447.073177136	13447.740460301	93.9	202.5	FN
199	Waveform 1	1	13540.878753662	13541.575164795	135.0	175.0	FP
200	Waveform 1	1	13651.399200439	13651.886688232	135.0	175.0	TP
201	Waveform 1	1	13687.055450439	13687.682220459	135.0	175.0	TP
202	Waveform 1	1	13742.002288818	13742.698699951	135.0	175.0	FP
203	Waveform 1	1	13856.074432373	13856.631561279	135.0	175.0	TP
204	Waveform 1	1	13881.433697436	13883.129708814	139.2	207.0	FN
205	Waveform 1	1	13908.600518228	13909.907281093	132.4	211.6	FN
206	Waveform 1	1	14017.990020752	14018.686431885	135.0	175.0	TP
207	Waveform 1	1	14051.905242920	14052.601654053	135.0	175.0	TP
208	Waveform 1	1	14101.682079128	14102.683003875	71.3	170.8	FN
209	Waveform 1	1	14159.349362293	14160.294680110	82.6	182.1	FN
210	Waveform 1	1	14282.847050424	14283.931385567	75.8	175.4	FN
211	Waveform 1	1	14482.217681885	14482.705169678	135.0	175.0	TP
212	Waveform 1	1	14587.236480713	14587.654327393	135.0	175.0	TP
213	Waveform 1	1	14719.484954834	14720.181365967	135.0	175.0	TP
214	Waveform 1	1	14763.428497314	14764.055267334	135.0	175.0	TP
215	Waveform 1	1	14797.761566162	14798.249053955	135.0	175.0	FP
216	Waveform 1	1	14848.212194462	14849.157512279	125.6	204.8	FN
217	Waveform 1	1	14937.405893971	14938.712656836	66.8	159.5	FN
218	Waveform 1	1	15002.268726140	15003.186240492	82.6	148.2	FN
219	Waveform 1	1	15046.658905029	15047.216033936	135.0	175.0	TP
220	Waveform 1	1	15078.653350915	15079.459651406	103.0	155.0	FN
221	Waveform 1	1	15198.600518228	15199.601442975	64.5	177.6	FN
222	Waveform 1	1	15328.515258337	15329.822021202	57.7	157.3	FN
223	Waveform 1	1	15384.069478145	15385.431847941	50.9	136.9	FN
224	Waveform 1	1	15553.740460301	15554.685778118	71.3	184.4	FN
225	Waveform 1	1	15580.768263766	15581.741385049	143.7	225.1	FN
226	Waveform 1	1	15627.711732088	15628.907281093	57.7	152.7	FN
227	Waveform 1	1	15700.937164307	15701.494293213	135.0	175.0	TP
228	Waveform 1	1	15801.544911297	15802.629246440	60.0	155.0	FN
229	Waveform 1	1	15872.157512279	15872.936009305	73.5	166.3	FN
230	Waveform 1	1	15924.600518228	15925.740460301	46.4	152.7	FN
231	Waveform 1	1	16089.813140869	16090.300628662	135.0	175.0	TP
232	Waveform 1	1	16141.459651406	16143.127859319	55.4	211.6	FN
233	Waveform 1	1	16369.935084558	16371.158437027	84.9	143.7	FN
234	Waveform 1	1	16374.049997409	16374.967511761	100.7	168.6	FN
235	Waveform 1	1	16402.712656836	16403.963812771	57.7	143.7	FN
236	Waveform 1	1	16426.657049906	16427.602367723	71.3	164.0	FN
237	Waveform 1	1	16582.106170654	16582.593658447	135.0	175.0	FP
238	Waveform 1	1	16624.715431079	16625.771962757	91.6	173.1	FN
239	Waveform 1	1	16801.684853371	16802.713581584	112.0	184.4	FN
240	Waveform 1	1	16832.655200410	16834.184390997	75.8	188.9	FN
241	Waveform 1	1	16865.733062320	16866.622773207	109.7	182.1	FN
242	Waveform 1	1	16887.273529053	16887.691375732	135.0	175.0	TP
243	Waveform 1	1	16919.238800049	16919.795928955	135.0	175.0	TP
244	Waveform 1	1	16965.967987061	16966.594757080	135.0	175.0	FP
245	Waveform 1	1	17036.877628132	17037.906356345	96.2	168.6	FN
246	Waveform 1	1	17067.461500901	17068.768263766	87.1	195.7	FN
247	Waveform 1	1	17109.024968187	17109.664447887	118.8	211.6	FN
248	Waveform 1	1	17294.988841993	17296.073177136	100.7	193.5	FN
249	Waveform 1	1	17375.527374268	17376.014862061	135.0	175.0	TP
