Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
140	Waveform 1	1	6526.347259521	6527.043670654	67.0	226.0	FP
141	Waveform 1	1	6559.687627614	6561.049997409	80.3	202.5	FN
142	Waveform 1	1	6638.321558828	6639.211269715	69.0	168.6	FN
143	Waveform 1	1	6657.411834717	6658.456451416	67.0	226.0	FP
144	Waveform 1	1	6678.025604248	6679.279144287	67.0	226.0	FP
145	Waveform 1	1	6683.596893311	6684.850433350	67.0	226.0	FP
146	Waveform 1	1	6707.874853889	6708.792368241	69.0	152.7	FN
147	Waveform 1	1	6828.520050049	6829.146820068	67.0	226.0	FP
148	Waveform 1	1	6952.202667236	6953.386566162	67.0	226.0	FP
149	Waveform 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
150	Waveform 1	1	7042.736114502	7043.502166748	67.0	226.0	FP
151	Waveform 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
152	Waveform 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
153	Waveform 1	1	7138.353363037	7138.980133057	67.0	226.0	TP
154	Waveform 1	1	7160.081390381	7160.847442627	67.0	226.0	FP
155	Waveform 1	1	7204.373138428	7205.487396240	67.0	226.0	FP
156	Waveform 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
157	Waveform 1	1	7343.167877197	7344.421417236	67.0	226.0	FP
158	Waveform 1	1	7407.098419189	7407.585906982	67.0	226.0	FP
159	Waveform 1	1	7429.801422119	7431.054962158	67.0	226.0	FP
160	Waveform 1	1	7481.475128174	7482.171539307	67.0	226.0	FP
161	Waveform 1	1	7490.528472900	7491.015960693	67.0	226.0	FP
162	Waveform 1	1	7562.049896240	7563.024871826	67.0	226.0	FP
163	Waveform 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
164	Waveform 1	1	7590.533111572	7591.159881592	67.0	226.0	FP
165	Waveform 1	1	7598.472198486	7599.377532959	67.0	226.0	FP
166	Waveform 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
167	Waveform 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
168	Waveform 1	1	7732.879547119	7733.436676025	67.0	226.0	FP
169	Waveform 1	1	7743.116790771	7743.743560791	67.0	226.0	FP
170	Waveform 1	1	7811.225799561	7812.131134033	67.0	226.0	FP
171	Waveform 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
172	Waveform 1	1	7856.701446533	7858.233551025	67.0	226.0	FP
173	Waveform 1	1	7910.325103760	7911.091156006	67.0	226.0	FP
174	Waveform 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
175	Waveform 1	1	8021.124114990	8021.750885010	67.0	226.0	FP
176	Waveform 1	1	8086.308197021	8087.004608154	67.0	226.0	FP
177	Waveform 1	1	8106.852325439	8107.548736572	67.0	226.0	FP
178	Waveform 1	1	8149.820892334	8150.795867920	67.0	226.0	FP
179	Waveform 1	1	8171.200714111	8171.827484131	67.0	226.0	FP
180	Waveform 1	1	8176.841644287	8177.538055420	67.0	226.0	FP
181	Waveform 1	1	8182.412933350	8183.318267822	67.0	226.0	FP
182	Waveform 1	1	8194.460845947	8195.017974854	67.0	226.0	FP
183	Waveform 1	1	8212.149688721	8212.706817627	67.0	226.0	FP
184	Waveform 1	1	8217.651336670	8218.347747803	67.0	226.0	FP
185	Waveform 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
186	Waveform 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
187	Waveform 1	1	8339.384002686	8340.637542725	67.0	226.0	FP
188	Waveform 1	1	8349.899810791	8351.292633057	67.0	226.0	FP
189	Waveform 1	1	8416.615997314	8417.521331787	67.0	226.0	TP
190	Waveform 1	1	8428.106781006	8428.594268799	67.0	226.0	FP
191	Waveform 1	1	8445.517059326	8446.143829346	67.0	226.0	FP
192	Waveform 1	1	8460.072252388	8461.184390997	64.5	139.2	FN
193	Waveform 1	1	8479.710845947	8480.337615967	67.0	226.0	FP
194	Waveform 1	1	8583.430923193	8585.488379619	48.7	168.6	FN
195	Waveform 1	1	8652.008322729	8653.898958364	32.8	202.5	FN
196	Waveform 1	1	8663.981231689	8664.608001709	67.0	226.0	FP
197	Waveform 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
198	Waveform 1	1	8695.209420219	8696.822021202	39.6	125.6	FN
199	Waveform 1	1	8710.629246440	8712.075026631	93.9	184.4	FN
200	Waveform 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
201	Waveform 1	1	8762.655200410	8763.989766740	69.0	186.7	FN
202	Waveform 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
203	Waveform 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
204	Waveform 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
205	Waveform 1	1	8887.570865267	8888.988841993	80.3	186.7	FN
206	Waveform 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
207	Waveform 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
208	Waveform 1	1	8974.156587532	8975.936009305	44.1	159.5	FN
209	Waveform 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
210	Waveform 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
211	Waveform 1	1	9046.868072510	9047.425201416	67.0	226.0	FP
212	Waveform 1	1	9056.826751709	9057.314239502	67.0	226.0	TP
213	Waveform 1	1	9093.666900635	9094.293670654	67.0	226.0	FP
214	Waveform 1	1	9098.182541502	9100.184390997	39.6	177.6	FN
215	Waveform 1	1	9125.157512279	9127.242772170	53.2	222.9	FN
216	Waveform 1	1	9171.350287041	9173.407743466	64.5	177.6	FN
217	Waveform 1	1	9195.350287041	9197.046298419	46.4	175.4	FN
218	Waveform 1	1	9266.725067139	9267.212554932	67.0	226.0	FP
219	Waveform 1	1	9281.074101884	9282.603292471	48.7	175.4	FN
220	Waveform 1	1	9333.859100342	9335.112640381	67.0	226.0	FP
221	Waveform 1	1	9412.483917236	9412.971405029	67.0	226.0	TP
222	Waveform 1	1	9423.859072143	9425.332655800	37.3	116.5	FN
223	Waveform 1	1	9461.488379619	9463.239997927	46.4	148.2	FN
224	Waveform 1	1	9492.711732088	9494.240922675	41.9	164.0	FN
225	Waveform 1	1	9553.716094971	9554.760711670	67.0	226.0	TP
226	Waveform 1	1	9599.961038528	9601.434622184	78.1	175.4	FN
227	Waveform 1	1	9640.976409912	9642.299591064	67.0	226.0	FP
228	Waveform 1	1	9696.069478145	9698.238148432	37.3	193.5	FN
229	Waveform 1	1	9728.541212306	9729.514333589	37.3	127.8	FN
230	Waveform 1	1	9780.815765381	9781.651458740	67.0	226.0	FP
231	Waveform 1	1	9830.191314697	9831.793060303	67.0	226.0	TP
232	Waveform 1	1	9866.404693604	9867.588592529	67.0	226.0	FP
233	Waveform 1	1	9879.878552880	9881.324333071	44.1	191.2	FN
234	Waveform 1	1	9912.906356345	9914.518957327	44.1	186.7	FN
235	Waveform 1	1	9982.709882593	9983.655200410	69.0	150.5	FN
236	Waveform 1	1	10037.210344967	10038.461500901	50.9	148.2	FN
237	Waveform 1	1	10066.135406494	10067.528228760	67.0	226.0	FP
238	Waveform 1	1	10087.236663818	10088.211639404	67.0	226.0	TP
239	Waveform 1	1	10211.963897705	10212.799591064	67.0	226.0	TP
240	Waveform 1	1	10241.402194980	10243.320634080	30.6	168.6	FN
241	Waveform 1	1	10342.540985107	10343.098114014	67.0	226.0	FP
242	Waveform 1	1	10346.649810791	10347.485504150	67.0	226.0	FP
243	Waveform 1	1	10364.207570724	10366.042599428	44.1	166.3	FN
244	Waveform 1	1	10397.627396945	10399.212194462	48.7	159.5	FN
245	Waveform 1	1	10427.290981119	10429.070402893	48.7	179.9	FN
246	Waveform 1	1	10506.058319092	10507.033294678	67.0	226.0	TP
247	Waveform 1	1	10512.534942627	10513.300994873	67.0	226.0	FP
248	Waveform 1	1	10557.489304367	10559.518957327	48.7	209.3	FN
249	Waveform 1	1	10636.012021720	10637.819246959	30.6	155.0	FN
250	Waveform 1	1	10660.014795963	10661.933235062	44.1	148.2	FN
251	Waveform 1	1	10701.610565186	10702.655181885	67.0	226.0	FP
252	Waveform 1	1	10796.601043701	10797.506378174	67.0	226.0	FP
253	Waveform 1	1	10807.651501420	10809.236298937	39.6	175.4	FN
254	Waveform 1	1	10876.095432115	10877.708033098	50.9	184.4	FN
255	Waveform 1	1	11052.375316263	11054.043524176	41.9	179.9	FN
256	Waveform 1	1	11092.960113780	11094.378090506	96.2	241.0	FN
257	Waveform 1	1	11155.373466767	11156.902657354	103.0	170.8	FN
258	Waveform 1	1	11188.126009824	11189.404969223	53.2	143.7	FN
259	Waveform 1	1	11220.715423584	11221.829681396	67.0	226.0	FP
260	Waveform 1	1	11241.236298937	11242.459651406	57.7	136.9	FN
261	Waveform 1	1	11265.681154380	11267.210344967	57.7	216.1	FN
262	Waveform 1	1	11311.987917245	11313.489304367	44.1	157.3	FN
263	Waveform 1	1	11325.107452393	11325.943145752	67.0	226.0	FP
264	Waveform 1	1	11355.819183350	11356.306671143	67.0	226.0	FP
265	Waveform 1	1	11360.738610806	11362.518032580	53.2	179.9	FN
266	Waveform 1	1	11393.425384521	11393.912872314	67.0	226.0	FP
267	Waveform 1	1	11416.337310791	11417.451568604	67.0	226.0	FP
268	Waveform 1	1	11454.430923193	11455.848899919	44.1	166.3	FN
269	Waveform 1	1	11460.280853271	11461.186187744	67.0	226.0	FP
270	Waveform 1	1	11611.126009824	11612.627396945	62.2	179.9	FN
271	Waveform 1	1	11648.680229632	11649.959189032	55.4	284.0	FN
272	Waveform 1	1	11701.987917245	11703.878552880	39.6	195.7	FN
273	Waveform 1	1	11738.624622702	11740.376241010	41.9	177.6	FN
274	Waveform 1	1	11777.426483154	11778.819305420	67.0	226.0	FP
275	Waveform 1	1	11802.845489502	11804.377593994	67.0	226.0	TP
276	Waveform 1	1	11828.334136963	11829.518035889	67.0	226.0	FP
277	Waveform 1	1	11857.570865267	11859.072252388	39.6	157.3	FN
278	Waveform 1	1	11883.141693115	11883.768463135	67.0	226.0	TP
279	Waveform 1	1	11905.217926025	11906.401824951	67.0	226.0	TP
280	Waveform 1	1	12013.926761829	12014.899883111	69.0	132.4	FN
281	Waveform 1	1	12028.189939483	12029.413291952	73.5	191.2	FN
