Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
87	Spectrogram 1	1	10885.184539795	10885.602386475	45	90	FP
88	Spectrogram 1	1	10887.62197876	10887.970184326	45	90	FP
113	Spectrogram 1	1	10936.165196392	10936.949093102	81.7	155.5	FN
114	Spectrogram 1	1	10941.843150942	10942.711793242	79.4	183.1	FN
115	Spectrogram 1	1	10965.940614474	10966.85162957	72.5	150.9	FN
116	Spectrogram 1	1	11126.499939439	11127.601632113	74.8	148.6	FN
117	Spectrogram 1	1	11221.970248982	11222.648213704	77.1	141.7	FN
89	Spectrogram 1	1	11246.204071045	11246.621917725	45	90	FP
118	Spectrogram 1	1	11287.631297138	11288.860108198	84.1	185.4	FN
119	Spectrogram 1	1	11328.487201152	11329.440589043	74.8	187.7	FN
120	Spectrogram 1	1	11481.143999822	11482.11857411	79.4	155.5	FN
121	Spectrogram 1	1	11522.466004582	11523.504138063	88.7	164.7	FN
122	Spectrogram 1	1	11556.054974227	11556.648193359	88.7	155.5	FN
123	Spectrogram 1	1	11720.966040186	11722.194851245	63.3	180.8	FN
124	Spectrogram 1	1	11764.025329547	11765.084649425	74.8	155.5	TP
125	Spectrogram 1	1	11791.131261535	11792.127022221	70.2	134.7	FN
91	Spectrogram 1	1	12015.738372803	12016.086578369	120	165	FP
126	Spectrogram 1	1	12053.016871264	12054.18212313	74.8	160.1	FN
92	Spectrogram 1	1	12098.541656494	12098.959503174	75	120	FP
127	Spectrogram 1	1	12163.529553602	12164.4193823	79.4	167	FN
128	Spectrogram 1	1	12215.982946579	12216.491420121	95.6	157.8	FN
129	Spectrogram 1	1	12254.220266784	12255.004163494	88.7	155.5	FN
130	Spectrogram 1	1	12392.631276793	12393.415173504	79.4	150.9	FN
131	Spectrogram 1	1	12408.805027633	12409.44061956	88.7	167	FN
132	Spectrogram 1	1	12426.262619234	12427.088888739	100.2	160.1	TP
133	Spectrogram 1	1	12462.974518814	12463.673669934	77.1	160.1	TP
134	Spectrogram 1	1	12549.588914171	12550.266878893	79.4	155.5	FN
135	Spectrogram 1	1	12587.309231343	12588.114314451	79.4	146.3	FN
136	Spectrogram 1	1	12680.966040186	12681.686377703	91	164.7	FN
95	Spectrogram 1	1	12779.144256592	12779.701385498	45	90	FP
96	Spectrogram 1	1	12801.777618408	12802.543670654	60	105	FP
137	Spectrogram 1	1	12938.351604138	12938.966009668	77.1	144	FN
138	Spectrogram 1	1	12955.309251688	12956.114334796	88.7	162.4	FN
139	Spectrogram 1	1	13022.423631787	13023.249901292	100.2	162.4	FN
140	Spectrogram 1	1	13057.885533909	13058.648244222	86.4	164.7	FN
141	Spectrogram 1	1	13112.75417621	13114.194851245	95.6	183.1	FN
142	Spectrogram 1	1	13161.470233723	13162.338876024	88.7	141.7	FN
143	Spectrogram 1	1	13231.305002202	13232.321949285	79.4	157.8	FN
144	Spectrogram 1	1	13378.32196963	13379.232984726	84.1	139.4	FN
145	Spectrogram 1	1	13393.851599052	13394.889732533	88.7	160.1	FN
146	Spectrogram 1	1	13431.940614474	13432.660951992	74.8	144	FN
147	Spectrogram 1	1	13519.063483373	13519.61432971	107.1	155.5	FN
148	Spectrogram 1	1	13566.855868884	13567.385528823	95.6	150.9	FN
97	Spectrogram 1	1	13584.056243896	13584.474090576	45	90	FP
149	Spectrogram 1	1	13683.393987106	13684.029579033	100.2	157.8	TP
150	Spectrogram 1	1	13694.516845832	13695.576165711	81.7	157.8	FN
151	Spectrogram 1	1	13709.419412818	13710.669410275	63.3	127.8	FN
99	Spectrogram 1	1	13728.422271729	13729.257965088	45	120	FP
152	Spectrogram 1	1	13859.940573784	13860.893961675	81.7	146.3	FN
100	Spectrogram 1	1	13882.886260986	13883.513031006	60	135	FP
153	Spectrogram 1	1	13928.652463191	13929.627037479	97.9	155.5	FN
154	Spectrogram 1	1	14027.288075463	14028.029599378	111.7	169.3	TP
