Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
141	Waveform 1	1	9946.902470820	9948.321959458	74.8	173.9	FN
142	Waveform 1	1	10097.473907471	10098.657806396	67.0	226.0	TP
143	Waveform 1	1	10101.861297607	10102.418426514	67.0	226.0	FP
144	Waveform 1	1	10172.895233154	10173.661285400	67.0	226.0	FP
145	Waveform 1	1	10312.855848539	10314.021100405	95.6	208.5	FN
146	Waveform 1	1	10494.241432836	10495.131261535	74.8	176.2	FN
147	Waveform 1	1	10567.063483373	10567.953312071	88.7	167.0	FN
148	Waveform 1	1	10637.122894287	10637.610382080	67.0	226.0	FP
149	Waveform 1	1	10802.868743896	10803.425872803	67.0	226.0	FP
150	Waveform 1	1	10877.855828194	10878.597352109	86.4	167.0	FN
151	Waveform 1	1	10936.165196392	10936.949093102	81.7	155.5	FN
152	Waveform 1	1	10941.843150942	10942.711793242	79.4	183.1	FN
153	Waveform 1	1	10965.940614474	10966.851629570	72.5	150.9	FN
154	Waveform 1	1	11126.699920654	11127.744537354	67.0	226.0	TP
155	Waveform 1	1	11221.970248982	11222.648213704	77.1	141.7	FN
156	Waveform 1	1	11287.631297138	11288.860108198	84.1	185.4	FN
157	Waveform 1	1	11328.487201152	11329.440589043	74.8	187.7	FN
158	Waveform 1	1	11437.577850342	11439.318878174	67.0	226.0	FP
159	Waveform 1	1	11481.143999822	11482.118574110	79.4	155.5	FN
160	Waveform 1	1	11522.466004582	11523.504138063	88.7	164.7	FN
161	Waveform 1	1	11556.054974227	11556.648193359	88.7	155.5	FN
162	Waveform 1	1	11696.294586182	11696.921356201	67.0	226.0	FP
163	Waveform 1	1	11720.966040186	11722.194851245	63.3	180.8	FN
164	Waveform 1	1	11764.025329547	11765.084649425	74.8	155.5	FN
165	Waveform 1	1	11791.131261535	11792.127022221	70.2	134.7	FN
166	Waveform 1	1	11996.447784424	11997.422760010	67.0	226.0	FP
167	Waveform 1	1	12053.016871264	12054.182123130	74.8	160.1	FN
168	Waveform 1	1	12163.529553602	12164.419382300	79.4	167.0	FN
